"","WB_ID","DRAINAGE","CIRCULARITY","ELEVATION","SD.ELEVATION","HI","CATCH.SLOPE","TPI","TWI","HARD","CHALK","SANDSTONE","LIMESTONE","AQUIFER","ARABLE","IMPRV.GRASS","NAT.GRASS","MOUNTAIN","URBAN","RAINFALL","SEASONAL","WOOD","CATCH.AREA"
"114",113,1.44909354912905,0.211807993942094,338.2669937,69.71233264,0.423680677475248,50.43828756,0.488803126,0.228273771,0,0,0.481540370743814,0,0,0,0.676491119211975,0.305902427673932,0.00314123943225006,0,14.53338388,0.816550703041939,0.0144652136818429,64.8125
"115",114,1.38262106070862,0.244410412351715,352.6480464,110.4691068,0.480290025821065,60.06210589,0.504346772,0.211894494,0,0,0.647784632641615,0,0,0,0.428678257618246,0.527949149373715,0.0433725930080389,0,15.17168091,0.825610268355927,0,13.2075
"116",115,1.24918322175764,0.168387978249132,218.0803401,70.39670173,0.261228876086347,48.45403068,0.442146852,0.235638216,0,0,0.176275239107333,0,0,0,0.949787460148778,0.0500797024442083,0,0,14.19751893,0.810559302515474,0.000132837407013815,19.86
"117",116,1.30934433840351,0.251221938484463,323.9340385,96.60424512,0.509935973640465,51.58719866,0.51452052,0.227923666,0,0,0.271114999204708,0,0,0,0.815333227294417,0.176077620486719,0.0070780976618419,0.00151105455702243,13.39906597,0.826644126628772,0,30.13
"118",117,1.42261843125073,0.157656947341938,342.0286915,77.23139715,0.402086411919947,52.37409665,0.480655693,0.214745861,0,0,0,0,0,0,0.46756204838203,0.271677662582469,0.0297675149230286,0.00416273955387999,15.73223267,0.817817850632693,0.226830034558593,58.6
"119",118,1.53729352616796,0.168703340794832,377.289146,104.9155447,0.371676323581248,55.25933952,0.522267627,0.218815646,0,0,0.0183884297520661,0,0,0,0.35599173553719,0.155509641873278,0.0423553719008264,0,15.98984633,0.821463011725497,0.446143250688705,36.3325
"120",119,1.8104042450372,0.261058011757933,414.0943047,79.02753627,0.379706972705459,49.74860684,0.498937389,0.229558798,0,0,0,0,0,0,0.113906678865508,0.305352241537054,0.199451052150046,0,15.79583606,0.823659609930326,0.381290027447392,10.74
"121",120,1.71814676486342,0.25738805607069,156.6568707,43.00826345,0.206575963429257,30.59320829,0.389279214,0.287614733,0,0,0.280952380952381,0,0,0,1,0,0,0,12.74282572,0.82439089263522,0,225.4625
"122",121,0.960359977426783,0.21551746572436,275.4329308,92.118185,0.436304542007957,47.99267111,0.493646351,0.231841642,0,0,0,0,0,0,0.951543225940769,0.000832769478998595,0.00541300161349087,0,12.68012342,0.849130089390912,0.0422110029667413,48.955
"123",122,1.31080498656386,0.205958490645865,239.5449009,100.1080905,0.311757257662056,38.05869096,0.47770815,0.259674727,0,0,0,0,0,0.0576611395087894,0.847462909861613,0.00112205460665752,0,0,12.14000494,0.863499876676237,0.0937538960229398,39.94
"124",123,1.42056906780614,0.144636597481483,396.5780308,66.9878135,0.415535355428571,47.4255886,0.507641866,0.230913552,0,0,0.0876923076923077,0,0,0,0.349846153846154,0.568461538461538,0.0330769230769231,0,15.57232091,0.823296897864508,0.0486153846153846,16.3575
"125",124,0.997524806693974,0.336351063483287,160.4718047,39.97143475,0.400194405256724,50.83279819,0.452741342,0.228524957,0,0,0,0,0,0,1,0,0,0,11.8778718,0.844805258071191,0,48.79
"126",125,0.79795042762566,0.28228337029394,200.7424078,60.87049431,0.428890414515526,44.58060491,0.467426695,0.237582728,0,0,0,0,0,0,1,0,0,0,11.94296748,0.863790159787846,0,9.945
"127",126,1.2366807253308,0.238641731238805,224.2050926,82.25602107,0.26706166736075,39.54698318,0.462873369,0.262502066,0.116930507110276,0,0.0250067078078884,0,0,0.129272873624899,0.823665146230212,0.0374563992487255,0.00810303192916555,0,11.51374526,0.870952087464683,0.00150254896699759,45.4025
"128",127,1.40360883790104,0.282554127395466,205.5480358,37.32644496,0.562676526823387,44.35607355,0.474200009,0.240983041,0,0,0.33706492977814,0,0,0,0.998778750254427,0,0,0,12.69417573,0.834902022318757,0.00122124974557297,32.0825
"129",128,1.12644658981669,0.317853121106529,312.3188827,55.98833393,0.559282703762376,50.04275551,0.527639815,0.224553364,0,0,0,0,0,0.0893854748603352,0.878435754189944,0,0,0.0321787709497207,12.94886348,0.847659909275102,0,11.0775
"130",129,1.52695455623654,0.26681342921381,314.5061947,60.37321574,0.460845061538462,55.0834617,0.502157941,0.21672368,0,0,0,0,0,0,0.915265486725664,0.0847345132743363,0,0,13.31213693,0.834401258978041,0,11.415
"131",130,1.64697707958376,0.267953496637401,396.9318661,49.33183922,0.548957009064689,53.82165724,0.531434311,0.216715303,0,0,0,0,0,0,0.530053634177918,0.359718882929536,0.110227482892547,0,14.10113906,0.837421130763579,0,42.9925
"132",131,1.38714844948814,0.270319943384036,337.9964091,72.59563725,0.423258750969529,52.97097077,0.501644746,0.22376085,0,0,0,0,0,0,0.670318181818182,0.202545454545455,0.126863636363636,0,13.30177747,0.842800770070515,0.000272727272727273,109.8725
"133",132,1.15804761178115,0.267381567167105,401.5279431,51.32685167,0.528322238387716,49.18051769,0.528986114,0.226933141,0,0,0,0,0,0,0.506438127090301,0.305267558528428,0.0916387959866221,0,13.52757171,0.843912868928402,0.0966555183946488,28.6275
"134",133,1.54418566007996,0.21867192998919,256.1954257,79.3335287,0.434835358635525,43.34392903,0.489874263,0.243654139,0,0,0.725901089689857,0,0,0,0.867321278888756,0.120823853430727,0,0,13.76348632,0.827310628279793,0.0118548676805173,398.5675
"135",134,1.43059874811976,0.198911239751536,307.9643554,101.1159429,0.509486955821062,42.59235476,0.489180949,0.247907005,0,0,0.444313029765425,0,0,0,0.698945397200867,0.1105361718904,0.0683520599250936,0,14.66059772,0.817563385296474,0.122166370983639,70.065
"136",135,1.848811458026,0.187314137951585,304.9566108,94.91593054,0.500974879168945,43.64790526,0.483739414,0.250027583,0,0,0.779539857031297,0,0,0,0.551931278909113,0.413107466810837,0.0109329008229711,0,14.87601908,0.82162234179055,0.0240283534570794,366.655
"137",136,1.27252333396627,0.345856953693578,270.3286276,71.3497102,0.278674581293999,42.79408077,0.444850378,0.250847283,0,0,0.338810460541541,0,0,0,0.494792872020366,0.494792872020366,0.0104142559592687,0,15.9801585,0.822082011340802,0,26.4675
"138",137,1.27954491017964,0.057228062102634,196.7185448,83.78628557,0.274059769065058,42.52034963,0.447167074,0.253700596,0,0,0.244435572412416,0,0,0,0.893941511128855,0.0539175566423795,0.00768539774428586,0.0305020461123865,12.80612867,0.830904423208398,0.013953488372093,867.9225
"139",138,1.18103233609619,0.14126404443757,184.9003209,55.33079788,0.394564000367377,47.67804127,0.476709525,0.234493436,0,0,0,0,0,0,1,0,0,0,12.34723303,0.855648437803584,0,14.18
"140",139,1.3519061970982,0.139355296133006,232.2631739,63.37839326,0.365808072019614,43.7793839,0.481818364,0.240987592,0,0,0.133806663025669,0,0,0,0.81782008270266,0.159163610829367,0,0,13.12291298,0.83518870780807,0.0230163064679722,32.0775
"141",140,1.27551907135313,0.21297260086056,320.6027295,75.735271,0.510237341984733,42.747479,0.506030704,0.243715589,0,0,0.546448517265791,0,0,0,0.608432313380005,0.382521828050028,0,0,14.35813896,0.824038701988645,0.00904585856996775,32.3025
"142",141,1.73544416978129,0.243318405554055,327.0602941,63.49144387,0.52558778993187,46.02978821,0.495279903,0.238841624,0,0,0.347769877181642,0,0,0.0646412411118294,0.372656755009696,0.508888170652877,0,0,15.40648553,0.824134007977108,0.0538138332255979,15.415
"143",142,1.45852565428092,0.102635716278684,157.2429315,71.56686284,0.195791874710514,35.25800851,0.470228005,0.267747544,0.0783170411021551,0,0,0,0,0.110558509117933,0.875435888641171,0.0135482764534385,0,0,11.7566154,0.86724064130344,0.00045732578745784,155.48
"144",143,1.383782636692,0.117035769905376,208.4091076,65.38984893,0.401053432709716,48.71791073,0.484036451,0.234902988,0,0,0.00800733496332518,0,0,0,0.993887530562347,0.00611246943765281,0,0,12.83577516,0.840733335871371,0,98.305
"145",144,1.1977484946935,0.112291922787008,313.7463391,63.12897338,0.595286229089563,41.45170646,0.511786252,0.244445919,0,0,0.514513473702452,0,0,0,0.647084308118881,0.285330560609999,0.0346590416774976,0,14.06111026,0.825016972180893,0.0329260895936227,25.8225
"146",145,1.15420414909058,0.193127604919955,320.9359069,54.68116772,0.523290089545844,42.91933128,0.491478544,0.240811222,0,0,0.72201699298116,0,0,0,0.338012560029553,0.595123753232361,0,0,15.25161518,0.829309559096359,0.0668636867380864,13.335
"147",146,1.59233903541591,0.288329686095853,208.1097006,55.53054744,0.401000373145401,50.49814256,0.464678286,0.228648881,0,0,0,0,0,0,1,0,0,0,12.88342391,0.853499492308468,0,17.255
"148",147,1.28791247610636,0.187663114395925,184.937828,59.14624807,0.409000098522167,49.65358876,0.459706035,0.230938756,0,0,0,0,0,0,0.899391833188532,0,0,0.0675933970460469,12.47528425,0.863101010753343,0.0330147697654214,13.8275
"149",148,1.47122966796083,0.253157562377107,340.8262936,64.64262316,0.461090803632947,40.32474583,0.49047789,0.249417327,0,0,0.661690876230002,0,0,0,0.17317089497289,0.409264341656068,0.0383559809893567,0,15.45223327,0.83035077429041,0.379208782381686,35.98
"150",149,1.74491043250872,0.226408802307982,254.3147339,55.99048985,0.453218327246516,44.98257546,0.480022519,0.242290883,0,0,0.36482199506521,0,0,0,0.509340853013747,0.410645047585478,0.0800140994007755,0,14.87942832,0.833065531850007,0,57.5225
"151",150,1.66827636370101,0.186020111860583,151.6058845,55.07520145,0.356264268549747,39.58763742,0.461780303,0.254074317,0,0,0,0,0,0,1,0,0,0,12.12191646,0.861931995326568,0,13.7425
"152",151,1.16529102365904,0.184211867815429,156.6416134,36.07447445,0.40222644924154,38.09632316,0.474092389,0.250484922,0,0,0.0117598514545079,0,0,0,0.975655044357334,0,0,0,12.83444939,0.843333395941934,0.0243449556426656,190
